vendor_count,is_chain,CUI_American,CUI_Asian,CUI_Beverages,CUI_Cafe,CUI_Chicken Dishes,CUI_Chinese,CUI_Desserts,CUI_Healthy,CUI_Indian,CUI_Italian,CUI_Japanese,CUI_Noodle Dishes,CUI_OTHER,CUI_Street Food / Snacks,CUI_Thai,engagement_duration,tot_value_cui,preferred_order_day,preferred_order_hour,age_category
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.54,0.0,0.0,13.0,9.54,5.0,10.0,26
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.04,0.0,0.0,43.92,0.0,14.0,62.96,6.0,3.0,26
2.0,0.0,0.0,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.93,0.0,0.0,0.0,0.0,14.0,41.89,6.0,12.0,26
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,0.0,0.0,3.67,0.0,0.0,14.0,8.559999999999999,6.0,10.0,26
2.0,2.0,0.0,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.33,6.0,9.0,26
2.0,1.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.32,6.0,10.0,26
2.0,1.0,6.24,12.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.27,1.0,10.0,26
2.0,2.0,0.0,0.0,0.0,0.0,6.88,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,16.0,19.28,1.0,17.0,16
2.0,2.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0,0.0,16.0,7.06,1.0,21.0,26
2.0,2.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.0,0.0,0.0,16.0,6.87,1.0,16.0,26
2.0,1.0,12.02,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.21,2.0,11.0,26
2.0,1.0,15.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,17.0,17.53,2.0,15.0,26
1.0,2.0,0.0,35.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,35.95,2.0,11.0,26
2.0,2.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,17.0,3.55,2.0,11.0,26
2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,0.0,0.0,2.13,17.0,8.75,2.0,19.0,26
2.0,1.0,0.0,25.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.85,2.0,8.0,26
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.89,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,18.0,17.89,3.0,3.0,26
3.0,1.0,2.74,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58,0.0,0.0,0.0,18.0,22.8,3.0,12.0,26
3.0,2.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,19.0,10.1,0.0,11.0,26
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.26,0.0,3.82,0.0,0.0,19.0,25.080000000000002,6.0,17.0,26
3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,2.92,0.0,0.0,0.67,0.0,0.0,20.0,5.2299999999999995,2.0,13.0,26
2.0,1.0,0.0,12.05,0.0,0.0,0.0,12.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,24.17,5.0,11.0,26
